"block","loc","scale","shape"
235,0.00626189302964835,0.00305833956148995,-0.124387817386676
236,0.00460681404334226,0.00210132395773215,-0.0923129664972788
237,0.00467006043244744,0.0024976462357785,0.112423475416945
238,0.00541264422757461,0.00313001301284982,0.186929850826759
239,0.0044301749795159,0.00223855694810396,0.486523964644571
240,0.00293471535578656,0.00211295065100021,0.0675871380499574
241,0.00292461330493047,0.00220400803692418,0.370595816451817
242,0.00308580298518905,0.00266776331324702,0.0738178052282648
243,0.00357411332969729,0.00233062480726835,-0.0844544477842476
244,0.00354676650522287,0.00244282485226349,0.145081308134894
245,0.00251068269220281,0.00217175173392387,0.393908929302286
246,0.00304674582122991,0.0020877348854437,0.234417649811039
247,0.00314391026980494,0.00254743253127243,0.404769525393443
248,0.00392688230921774,0.00303522105800248,0.225524895747143
249,0.00343254402398254,0.00233905292491915,0.26524894240959
250,0.00403315066305088,0.0025315328899646,-0.0194593264798331
251,0.00384113967383076,0.0022288303670056,0.071722054180865
252,0.00322395363589768,0.00235767198157661,0.37609749179399
253,0.00419415734960026,0.00295856872720181,0.134016111569724
254,0.00476493521916703,0.00287700316106474,-0.268435186016304
